subreaction	enzymes
PrfA_mono_mediated_termination	BSU37010-MONOMER
PrfB_mono_mediated_termination	BSU35290-MONOMER
generic_RF_mediated_termination	generic_RF
N_terminal_methionine_cleavage	BSU01380-MONOMER_mod_fe2(2)
peptide_deformylase_processing	BSU15720-MONOMER_mod_fe2(1)
peptide_chain_release	CPLX_dummy
ribosome_recycler	BSU16520-MONOMER
GroEL_dependent_folding	BSU06030-MONOMER,BSU06020-MONOMER
DnaK_dependent_folding	BSU25470-MONOMER,BSU25460-MONOMER_mod_zn2(4),BSU25480-MONOMER
